name,score,comments,address,price
Grandi Nipponbashi Park Hotel,8.5,244条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 582
Kawarayamachi Crystal Hotel,8.7,299条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 588
Floral Hotel Shinsaibasi,7.6,59条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 726
Namba~Tsutenkaku Guest house Sunnyhouse,9.1,16条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 657
Shin Nippombashi,9,68条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 807
Doutonbori Crystal Hotel,9.5,5条住客点评,"道顿堀, 大阪 C 显示在地图上",HK$ 872
RakutenSTAYHOSTEL Nambaminami,8.5,127条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 795
Lahaina Park Hotel,7.6,9条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 553
APA Hotel Namba-Eki Higashi,8.2,"5,355条住客点评","难波, 大阪 C 显示在地图上",HK$ 761
Hotel Shin-Imamiya,7.1,"3,211条住客点评","南部地区, 大阪 C 显示在地图上",HK$ 552
Jakotel Apartment Namba,7.8,128条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 484
HG Cozy Hotel No.16,7.3,30条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 616
APA Hotel Namba-Shinsaibashi,7.8,"1,746条住客点评","道顿堀, 大阪 C 显示在地图上",HK$ 830
HG Cozy Hotel No.38,7.9,22条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 616
HOTEL LAND MARK NAMBA101,9.8,7条住客点评,"难波, 大阪 C 显示在地图上",HK$ 761
Picnic Hostel Osaka,9.2,814条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 519
Motomachi Hotel Apartment,8.2,22条住客点评,"难波, 大阪 C 显示在地图上",HK$ 747
Sarasa Hotel Shinsaibashi,8.7,"2,047条住客点评","心斋桥, 大阪 C 显示在地图上",HK$ 654
Hotel Code Shinsaibashi,8.3,973条住客点评,"心斋桥, 大阪 C 显示在地图上",HK$ 726
Nishitetsu Inn Shinsaibashi,8,488条住客点评,"心斋桥, 大阪 C 显示在地图上",HK$ 703
HG Cozy Hotel No.32,7.3,64条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
Sarasa Hotel Namba,8.5,"2,002条住客点评","难波, 大阪 C 显示在地图上",HK$ 830
Welina Hotel Dotonbori,8.2,261条住客点评,"道顿堀, 大阪 C 显示在地图上",HK$ 761
BEST WESTERN Hotel Fino Osaka Shinsaibashi,8,736条住客点评,"心斋桥, 大阪 C 显示在地图上",HK$ 778
Hotel July,8.3,192条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 830
Hotel WBF Namba Kuromon,,,"南部地区, 大阪 C 显示在地图上",HK$ 794
Tanimachi Hotel Apartment,8.2,3条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 708
Samty Nipponbashi Apartment,7.8,37条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 588
Maple House Namba Nippombashi,,,"南部地区, 大阪 C 显示在地图上",HK$ 761
Hotel Amaterrace Yosuga,9.2,127条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
Namba_Shimanouchi_SMR0009B,9,3条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 795
Daikoku Nanba Hotel Apartment,8.1,2条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 841
Namba_Daikoku_DOR0058B,6.7,3条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
Namba_Dotonbori_DOR0057B,7.7,2条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
Prince space Tanimachi,9.3,31条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
Blossom River 1,9.2,12条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
Himitsukichi Luxury Apartment,8.9,15条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 553
South In Ikenoya,7.8,25条住客点评,"难波, 大阪 C 显示在地图上",HK$ 712
Namba_Dotonbori_DOR0060B,,,"南部地区, 大阪 C 显示在地图上",HK$ 553
Hostel Q,8.2,"1,126条住客点评","道顿堀, 大阪 C 显示在地图上",HK$ 484
Apartment in Naniwa 555152,,,"难波, 大阪 C 显示在地图上",HK$ 719
Nerarel Hostel Namba,8.6,"1,299条住客点评","难波, 大阪 C 显示在地图上",HK$ 469
Namba_Dotonbori_DOR0063B,,,"南部地区, 大阪 C 显示在地图上",HK$ 553
Namba_Namba_NBR0002B,7.9,7条住客点评,"难波, 大阪 C 显示在地图上",HK$ 450
Namba_Daikoku_DAR0022B,,,"南部地区, 大阪 C 显示在地图上",HK$ 761
Namba_Dotonbori_DOR0069B,7.1,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 553
Zen Labo Osaka,8.2,"1,460条住客点评","难波, 大阪 C 显示在地图上",HK$ 448
Namba_Dotonbori_DOR0068B,7.9,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 553
Home Hostel Osaka,9.5,904条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 464
Namba_Dotonbori_DOR0065B,,,"南部地区, 大阪 C 显示在地图上",HK$ 692
Shinimamiya 805 kids friendly,10,2条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 733
Osaka Hitomi House No2,6.9,37条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 761
Apartment in Naniwa 555150,,,"难波, 大阪 C 显示在地图上",HK$ 792
Guest house be happy,10,2条住客点评,"西区, 大阪 C 显示在地图上",HK$ 484
Apartment W&K,7.7,28条住客点评,"难波, 大阪 C 显示在地图上",HK$ 450
Raffine Namba (Adult Only),7.4,40条住客点评,"难波, 大阪 C 显示在地图上",HK$ 692
Residence Namba East,8.1,11条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 484
Oasis Daikoku one,,,"南部地区, 大阪 C 显示在地图上",HK$ 513
Apartment in Osaka 555207,,,"南部地区, 大阪 C 显示在地图上",HK$ 843
Namba_Dotonbori_DOR0064B,,,"南部地区, 大阪 C 显示在地图上",HK$ 692
Namba_Namba_NBR0003B,10,1条住客点评,"难波, 大阪 C 显示在地图上",HK$ 519
Namba_Dotonbori_DOR0066B,5.4,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
CC Apartment in Osaka 61,,,"南部地区, 大阪 C 显示在地图上",HK$ 647
Namba_Sakuragawa_SKR0031B,,,"南部地区, 大阪 C 显示在地图上",HK$ 623
Qoo Hostel Osaka,8.7,171条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 553
Apartment in Shimanouchi 689,,,"南部地区, 大阪 C 显示在地图上",HK$ 807
Apartment in Naniwa 555127,,,"难波, 大阪 C 显示在地图上",HK$ 645
プライムハイツ,,,"南部地区, 大阪 C 显示在地图上",HK$ 484
Fuku Hostel Nagomi Namba,9,"1,406条住客点评","南部地区, 大阪 C 显示在地图上",HK$ 553
Apartment in Osaka 1361,,,"难波, 大阪 C 显示在地图上",HK$ 678
Apartment in Osaka 1357,8.1,3条住客点评,"难波, 大阪 C 显示在地图上",HK$ 678
Apartment in Osaka 1358,5,3条住客点评,"难波, 大阪 C 显示在地图上",HK$ 678
Namba_Dotonbori_DOR0061B,5.8,2条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 623
Apartment in Naniwa 43,,,"南部地区, 大阪 C 显示在地图上",HK$ 733
NANBA OCAT USJ Area,,,"南部地区, 大阪 C 显示在地图上",HK$ 484
Namba_Dotonbori_DOR0067B,,,"南部地区, 大阪 C 显示在地图上",HK$ 692
Namba_Dotonbori_DOR0059B,,,"南部地区, 大阪 C 显示在地图上",HK$ 623
Osaka Esraise,10,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
Namba_Dotonbori_DOR0053B,,,"南部地区, 大阪 C 显示在地图上",HK$ 553
Namba_Shimanouchi_SMR0012B,6.1,2条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
ibis Styles Osaka Namba,7.9,"3,050条住客点评","道顿堀, 大阪 C 显示在地图上",HK$ 609
Apartment in Shimanouchi 690,5,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 697
Namba_Dotonbori_DOR0056B,,,"南部地区, 大阪 C 显示在地图上",HK$ 553
Local stay in Namba,7.8,7条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
Apartment in Naniwa 555201,,,"南部地区, 大阪 C 显示在地图上",HK$ 543
HOTEL MYSTAYS Shinsaibashi,8.3,883条住客点评,"心斋桥, 大阪 C 显示在地图上",HK$ 726
Fuku Hostel Namba,8.8,688条住客点评,"难波, 大阪 C 显示在地图上",HK$ 553
Osaka Namba Hostel Miyabi,8.6,360条住客点评,"难波, 大阪 C 显示在地图上",HK$ 830
Oasis Daikou Three,,,"南部地区, 大阪 C 显示在地图上",HK$ 513
Osaka - hotel / Vacation STAY 2626,,,"南部地区, 大阪 C 显示在地图上",HK$ 659
Namba_Dotonbori_DOR0055B,10,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
HG Cozy Hotel No.17,6.9,37条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 730
Namba_Dotonbori_DOR0054B,7.5,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 553
Apartment in Naniwa 23,,,"难波, 大阪 C 显示在地图上",HK$ 660
Hostel Mitsuwaya Osaka,9.3,344条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 461
Namba_Ebisu_EBR0009B,,,"南部地区, 大阪 C 显示在地图上",HK$ 692
SK Building 6F,7,3条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 719
HG Apartment in Naniwa 32 402,,,"南部地区, 大阪 C 显示在地图上",HK$ 660
HG Apartment in Naniwa 32 401,,,"南部地区, 大阪 C 显示在地图上",HK$ 660
Apartment Namba Kuromon KMR0045B,5.8,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 692
Namba_Shimanouchi_SMR0011B,10,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 553
Apartment in Osaka 1359,4,2条住客点评,"难波, 大阪 C 显示在地图上",HK$ 678
难波樱川,10,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 553
Apartment in Osaka 1362,6.7,3条住客点评,"难波, 大阪 C 显示在地图上",HK$ 678
Osaka EXE,6.7,2条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 761
Nipponbashi Paru 302,,,"南部地区, 大阪 C 显示在地图上",HK$ 830
B&C Hotel Sunplay Inn Nagahori,7.8,265条住客点评,"心斋桥, 大阪 C 显示在地图上",HK$ 448
Prince Space Namba,8.5,4条住客点评,"心斋桥, 大阪 C 显示在地图上",HK$ 692
Apartment in Osaka 5951,9.6,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 787
Apartment in Naniwa 51,,,"南部地区, 大阪 C 显示在地图上",HK$ 733
Hotel Kanade Osaka Namba,8.3,"1,712条住客点评","难波, 大阪 C 显示在地图上",HK$ 761
Guest House Ebisucho,8.3,2条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 830
Hostel Chill Out,9,913条住客点评,"难波, 大阪 C 显示在地图上",HK$ 553
Apartment Namba Kuromon KMR0046B,,,"南部地区, 大阪 C 显示在地图上",HK$ 692
Hotel WBF Namba Ebisu,8.8,150条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 764
Oasis Daikoku Two,,,"南部地区, 大阪 C 显示在地图上",HK$ 513
Apartment VR Namba Kuromon KMR0043B,8.3,1条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 553
Hotel Art Inn Namba Osaka（大阪难波艺术酒店）,7.7,572条住客点评,"难波, 大阪 C 显示在地图上",HK$ 830
HG Cozy Hotel No.23（23号HG舒适公寓）,7.9,22条住客点评,"难波, 大阪 C 显示在地图上",HK$ 616
Business Hotel Nissei（日星商务旅馆）,7.3,"1,031条住客点评","难波, 大阪 C 显示在地图上",HK$ 761
Business Inn Sennichimae Hotel（千日前商务酒店）,6.9,446条住客点评,"难波, 大阪 C 显示在地图上",HK$ 478
Hotel Asiato（阿西托酒店）,8.5,55条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 830
HG Cozy Hotel No.19（HG舒适9号公寓）,6.4,16条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 685
Smile Hotel Namba（南巴微笑酒店）,7.1,616条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 623
HG Cozy Hotel No.18（HG安逸18号公寓）,6.8,47条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 678
Central of SHINSAIBASI 048,,,"心斋桥, 大阪 C 显示在地图上",HK$ 588
Central of SHINSAIBASI 101,,,"心斋桥, 大阪 C 显示在地图上",HK$ 588
Central of SHINSAIBASI 034,,,"心斋桥, 大阪 C 显示在地图上",HK$ 588
Central of SHINSAIBASI 051,,,"心斋桥, 大阪 C 显示在地图上",HK$ 588
Central of SHINSAIBASI 054,,,"心斋桥, 大阪 C 显示在地图上",HK$ 588
Central of SHINSAIBASI 055,,,"心斋桥, 大阪 C 显示在地图上",HK$ 623
Central of SHINSAIBASI 076,,,"心斋桥, 大阪 C 显示在地图上",HK$ 588
Central of SHINSAIBASI 036,,,"心斋桥, 大阪 C 显示在地图上",HK$ 588
Central of SHINSAIBASI 035,,,"心斋桥, 大阪 C 显示在地图上",HK$ 588
Toyotomi Inn Nambakozu,8.4,8条住客点评,"南部地区, 大阪 C 显示在地图上",HK$ 858
