name,score,comments,address,description
Residential Hotel Hare Kuromon,9.6,11条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上","Residential Hotel Hare Kuromon is located in Osaka, in the Chuo Ward district."
Nipponbashi Hanna No.2 Hotel Apartment,,,"中央区, 大阪【南部地区】 – 显示在地图上","1.2 km from Glico Man Sign, Nipponbashi Hanna No."
Lore Hostel Dotonbori（道顿堀旅舍）,8.2,"2,993条住客点评","中央区, 大阪【难波】 – 显示在地图上",Lore Hostel Dotonbori旅舍距离Glico Man Sign广告牌有300米，位于大阪的Chuo...
Hotel Be-zen shimanouchi,7.8,14条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Hotel Be-zen shimanouchi酒店位于大阪，提供带空调和免费WiFi的客房，距离格力高广告牌（Glico Man Sign）有900米，距离难波城购物中心（Namba CITY...
The Dorm Hostel Osaka（大阪啡香书屋旅舍）,9.2,"2,455条住客点评","中央区, 大阪【心斋桥】 – 显示在地图上",THE DORM HOSTEL OSAKA旅舍位于大阪，距离Nagahoribashi Station车站有5分钟的步行路程，距离Shinsaibashi...
Osaka Hana Hostel（大阪花宿旅舍）,8.9,"1,262条住客点评","中央区, 大阪【心斋桥】 – 显示在地图上",Osaka Hana Hostel旅馆距离心斋桥火车站有2分钟的步行路程，提供带免费无线网络连接的私人客房和宿舍间。客人可以在休息室免费使用电脑并享用免费的咖啡/茶...
Dotonbori Hotel（道顿堀酒店）,8.7,504条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Dotonbori Hotel酒店距离难波地铁站（Namba Subway Station）仅有3分钟步行路程，提供带免费WiFi和平板电视的客房以及可免费使用的电脑、自行车和婴儿推车。 Hotel...
Bijou Suites Akari（比约明亮套房公寓）,9.2,69条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Bijou Suites Akari公寓位于大阪（Osaka），提供免费WiFi，距离难波城（Namba CITY）购物中心600米。 部分公寓配有带洗碗机和微波炉的厨房。...
Apollo Couples Apartment at Namba（阿波罗情侣纳姆巴公寓）,9.0,100条住客点评,大阪【难波】 – 显示在地图上,Apollo Couples Apartment at Namba酒店距离难波车站（Namba...
Hotel Le Botejour Nanba,7.9,527条住客点评,"中央区, 大阪【难波】 – 显示在地图上",Hotel Le Botejour Annex酒店提供按摩服务和24小时服务的前台，距离难波地铁站（Namba Subway Station）有400米。客房内设有免费的有线网络、平面电视和连接浴室。...
RakutenSTAYHOSTEL Nambaminami（那木巴米娜米拉库塔斯酒店）,8.5,167条住客点评,大阪【南部地区】 – 显示在地图上,RakutenSTAYHOSTEL Nambaminami酒店位于大阪，距离新世界（Shinsekai）700米，提供带免费WiFi的客房。酒店靠近几个著名的景点，距离通天阁（Tsutenkaku...
Shinsaibashi-Higashi Crystal Hotel（心斋桥东水晶酒店）,8.3,349条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Shinsaibashi-Higashi Crystal Hotel酒店位于大阪（Osaka），提供空调客房和免费WiFi，距离格力高广告牌（Glico Man...
HOTEL THE FLAG Shinsaibashi（心斋桥法拉格酒店 ）,9.3,977条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",这家三星级的HOTEL THE FLAG Shinsaibashi酒店位于大阪（Osaka）市中心，距离道顿堀河（Dotonbori River）和惠比寿塔摩天轮（Ebisu Tower Ferris...
The Bridge Hotel Shinsaibashi（心斋桥大桥酒店）,8.7,763条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",The Bridge Hotel Shinsaibashi酒店于2016年11月开业，是一家完全禁烟的酒店，位于大阪（Osaka），距离心斋桥站（Shinsaibashi...
Nisshin Namba Inn（日进南芭旅馆）,8.7,359条住客点评,大阪【难波】 – 显示在地图上,Nisshin Namba Inn宾馆距离大国町地铁站（Daikokucho Subway...
ルポゼ・島之内,,,"中央区, 大阪【道顿堀】 – 显示在地图上","Set 1 km from Glico Man Sign, ルポゼ・島之内 is located in Chuo Ward of Osaka."
Tanimachi LUXE HOTEL（谷町奢华酒店）,8.1,"1,118条住客点评",大阪【南部地区】 – 显示在地图上,Tanimachi LUXE HOTEL无烟酒店位于大阪市（Osaka），距离难波城（Namba CITY）购物中心1.1公里，距离格力高广告牌（Glico Man Sign）1.
Hotel WBF Namba Nippombashi（难波日本桥WBF酒店）,8.8,75条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Hotel WBF Namba Nippombashi酒店位于大阪（Osaka）的中央区（Chuo Ward），距离难波城（Namba...
Kuromon Crystal Hotel（黑门水晶酒店）,8.7,217条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Kuromon Crystal Hotel酒店位于大阪（Osaka），距离难波城（Namba CITY）购物中心700米，距离格力高广告牌（Glico Man...
Crest Court Nipponbashi（日本桥鹤立苑公寓）,8.2,79条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Crest Court Nipponbashi酒店距离难波城购物中心有700米，提供免费WiFi。 所有公寓均提供设备齐全厨房、微波炉和水壶。 Crest Court...
Namba high class residence 13（难波高档住宅13号公寓 ）,8.7,30条住客点评,大阪【难波】 – 显示在地图上,Namba high class residence 13公寓位于大阪，距离难波城购物中心仅有600米，提供免费WiFi和城市景观，距离Glico Man...
Hearton Hotel Shinsaibashi Nagahoridouri（哈托恩心斋桥长崛通酒店）,8.7,378条住客点评,大阪【心斋桥】 – 显示在地图上,Hearton Hotel Shinsaibashi Nagahoridouri酒店位于大阪（Osaka），距离格力高广告牌（Glico Man Sign）900米，距离难波城（Namba...
Comfort Hotel Osaka Shinsaibashi（大阪心斋桥康福特酒店）,8.1,373条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Comfort Hotel Osaka Shinsaibashi经济型酒店距离心斋桥地铁站（Shinsaibashi Subway...
Designer Pent House Doutonbori East（彭特达顿波利东设计公寓）,9.1,40条住客点评,大阪【南部地区】 – 显示在地图上,Designer Pent House Doutonbori East公寓位于大阪南区天王寺（Tennoji）的Uehommachi区，距离Namba CITY购物中心1.
Hotel Oriental Express Osaka Shinsaibashi（大阪心斋桥东方快捷酒店）,8.8,46条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Hotel Oriental Express Osaka Shinsaibashi酒店位于大阪，距离Glico Man Sign广告牌有1.
Namba_KUROMON_KMR0005B,7.7,6条住客点评,"中央区, 大阪【难波】 – 显示在地图上",Namba_KUROMON_KMR0005B is a property set in Osaka near Namba CITY shopping mall. This apartment is...
Rela Shinsaibashi,9.4,8条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Just 700 metres from Glico Man Sign and 1.
Hotel Code Shinsaibashi（心斋桥柯德酒店 ）,8.3,"1,025条住客点评","中央区, 大阪【心斋桥】 – 显示在地图上",Hotel Code Shinsaibashi酒店于2017年3月开业，位于大阪（Osaka）市中心，地理位置便利，距离心斋桥（Shinsaibashi）和长堀桥（Nagahoribashi...
Namba_Kuromon_KMR0001B,7.9,6条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Namba_Kuromon_KMR0001B公寓位于大阪（Osaka）的中央区（Chuo Ward），距离难波城（Namba CITY）购物中心1.
Hotel Felice Shinsaibashi By Relief（费利斯心斋桥颐养酒店）,9.2,51条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Hotel Felice Shinsaibashi By Relief经济型酒店提供位于大阪（Osaka）的住宿、餐厅、24小时前台、行李寄存处和免费WiFi，距离格力高广告牌（ Glico Man...
Bijou Suites Zero（比茹零套房旅馆）,8.1,106条住客点评,大阪【难波】 – 显示在地图上,Bijou Suites Zero公寓位于大阪（Osaka），距离难波城（Namba CITY）购物中心1.
Nishitetsu Inn Shinsaibashi（西铁心斋桥酒店）,8.0,487条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Nishitetsu Inn Shinsaibashi酒店距离心斋桥和四桥地铁站有3分钟的步行路程，提供带免费有线网络连接、液晶电视和私人浴室的空调房...
Koyakoya Apartment Kuromon Ichiba（黑门市场古屋古屋公寓民宿）,7.7,63条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Koyakoya Apartment Kuromon Ichiba公寓位于大阪（Osaka），距离难波城（Namba CITY）购物中心1.
Nippombashi Crystal Hotel Ⅱ（日本桥水晶Ⅱ酒店）,8.4,283条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Nippombashi Crystal Hotel Ⅱ酒店位于大阪，距离Glico Man...
Khaosan World Namba（考山世界难波旅舍）,8.4,"1,645条住客点评",大阪【难波】 – 显示在地图上,Khaosan World Namba Hostel旅舍位于大阪（Osaka），提供配有免费WiFi的舒适宿舍间，距离难波地铁站（Namba Subway Station）和大阪市航空港（Osaka...
midi HOTEL（迷迪酒店）,9.0,"2,101条住客点评",大阪【南部地区】 – 显示在地图上,midi HOTEL酒店于2017年3月开业，位于大阪（Osaka），距离Namba CITY购物商场1公里，提供客房。客人可以光顾酒店内的酒吧。酒店各处均覆盖免费WiFi，提供内部的私人停车场。...
Centrage Ark Shinsaibashi（心斋桥中心线方舟公寓）,9.6,57条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Centrage Ark Shinsaibashi公寓位于大阪（Osaka），距离格力高广告牌（Glico Man Sign）800米，距离难波城购物中心（Namba CITY shopping...
e-hostel Shinsaibashi（心斋桥电子旅馆）,8.7,746条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",E-hostel Shinsaibashi旅馆于2017年9月开放，配有覆盖各处的免费WiFi，提供内部外卖咖啡。...
Floral Hotel Shinsaibasi（花筑·心斋桥酒店）,7.6,70条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Floral Hotel Shinsaibasi酒店位于大阪（Osaka），距离格力高人像标志（Glico Man Sign）1公里，距离难波城购物中心（Namba...
New Japan Capsule Hotel Cabana (Male Only)（新日本胶囊小屋旅馆（仅限男性入住））,8.6,"1,514条住客点评","中央区, 大阪【难波】 – 显示在地图上",New Japan Capsule Hotel Cabana (men only)胶囊旅馆距离难波地铁站（Namba Subway...
Fraser Residence Nankai Osaka（大阪南海辉盛庭国际公寓）,9.0,203条住客点评,大阪【难波】 – 显示在地图上,Fraser Residence Nankai Osaka酒店距离Namba地铁站仅有3分钟的步行路程，提供带免费WiFi的一室公寓和公寓房，设有健身中心和桑拿浴室。 Fraser...
Hotel Ekichika Nagahoribashi（长堀桥车站附近酒店）,7.8,"2,376条住客点评","中央区, 大阪【心斋桥】 – 显示在地图上",Hotel Ekichika Nagahoribashi酒店位于大阪，交通便利，距离长堀桥站（Nagahoribashi...
S-Dotonbori Hotel Namba（那霸土遁酒店）,9.2,34条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",S-Dotonbori Hotel Namba公寓位于大阪（Osaka），距离Glico Man Sign广告牌300米，提供免费WiFi和公寓。...
Namba_KUROMON_KMR0007B,,,"中央区, 大阪【难波】 – 显示在地图上","Featuring a hot tub, Namba_KUROMON_KMR0007B is located in Osaka."
Olfea Residence Namba（难波奥尔发公寓 ）,9.1,518条住客点评,大阪【南部地区】 – 显示在地图上,Olfea Residence Namba公寓于2017年经过翻修，提供免费WiFi，距离大国町站（Daikokucho Station）仅有5分钟步行路程，距离JR今宫站（JR Imamiya...
Shinsaibashi 8ppl（心斋桥8ppl公寓）,8.7,6条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Shinsaibashi 8ppl公寓位于大阪（Osaka），距离Glico Man Sign广告牌1.5公里，提供配有阳台和免费WiFi的空调公寓，距离Namba CITY购物商场2.
APA Hotel Namba-Shinsaibashi（APA难波心斋桥酒店）,7.8,"1,764条住客点评","中央区, 大阪【道顿堀】 – 显示在地图上",APA Hotel Namba Shinsaibashi酒店距离御堂筋线（Midosuji Line）的难波火车站（Namba Train...
Traveller Namba,9.3,11条住客点评,大阪【难波】 – 显示在地图上,Traveler Namba民宿位于大阪，提供免费WiFi以及带厨房的客房。 所有客房均配有空调、平板电视、微波炉和水壶。 民宿距离难波城购物中心（Namba...
PLEIA Hotel（普利亚酒店）,8.8,315条住客点评,大阪【南部地区】 – 显示在地图上,PLEIA Hotel酒店位于大阪（Osaka），距离通天阁（Tsutenkaku）1.4公里，距离新世界（Shinsekai）1.4公里，距离难波城（Namba CITY）购物中心1.
Daiwa Roynet Hotel Osaka-Uehonmachi（大阪上本町大和ROYNET酒店）,8.7,982条住客点评,大阪【南部地区】 – 显示在地图上,Daiwa Roynet Hotel Osaka-Uehonmachi酒店距离大阪上本町火车站（Osaka-Uehonmachi Train...
APA Hotel Namba-Eki Higashi（难波站东APA酒店）,8.2,"5,460条住客点评","中央区, 大阪【难波】 – 显示在地图上",APA Hotel Namba-Eki Higashi酒店于2017年4月开业，距离受欢迎的购物和用餐场所道顿崛心斋桥购物区（Dotonbori and Shinsaibashi Shopping...
Sarasa Hotel Shinsaibashi（心斋桥印花布酒店）,8.7,"2,072条住客点评","中央区, 大阪【心斋桥】 – 显示在地图上",Sarasa Hotel Shinsaibashi酒店位于大阪（Osaka），距离格力高人形广告牌（Glico Man Sign）和难波城（Namba CITY）购物中心不到1.
Quintessa Hotel Osaka Shinsaibashi（大阪心斋桥金塔大酒店）,8.2,"1,075条住客点评","中央区, 大阪【心斋桥】 – 显示在地图上",Quintessa Hotel Osaka Shinsaibashi酒店位于大阪（Glico Man Sign），提供免费WiFi，距离格力高广告牌（Glico Man...
Kuromon Hotel Apartment（黑门酒店公寓）,8.4,25条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Kuromon Hotel Apartment公寓位于大阪，毗邻难波城（Namba CITY）购物中心和格力高人形广告牌（Glico Man Sign），提供可使用热水浴池的住宿以及免费WiFi。...
Apartment in Osaka SI47（大阪NSI47公寓）,7.6,5条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Apartment In Nishishinsaibashi NSI47公寓位于大阪（Osaka），距离格力高广告牌（Glico Man Sign）300米，距离难波城（Namba...
Grandouce Dotonbori（天鹅道頓堀公寓）,7.6,796条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Grandouce Dotonbori公寓位于大阪（Osaka），距离格力高人像标志（Glico Man Sign）有700米，距离Kuromon Ichiba...
Namba next to Kuromon AP42（难波黑门AP42旁公寓）,8.4,30条住客点评,大阪【南部地区】 – 显示在地图上,Namba next to Kuromon AP42公寓位于大阪（Osaka），距离难波城（Namba CITY）购物中心有500米，距离格力高广告牌（Glico Man...
Namba Shinsaibashi high class C7（难波心斋桥高级C7公寓）,8.3,19条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Namba Shinsaibashi high class C7公寓位于大阪（Osaka），距离格力高人形牌（Glico Man Sign）有400米，距离难波城购物中心（Namba CITY...
Shinsaibashi crystal apartment（心斋桥水晶公寓）,9.4,34条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Shinsaibashi crystal apartment公寓位于大阪（Osaka），距离格力高人像标志（Glico Man Sign）不到800米，提供平板电视、厨房和免费WiFi。...
East Apartment（伊斯塔公寓）,7.8,22条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上","Set less than 1 km from Glico Man Sign, East Apartment features free WiFi."
★NAMBA★1min WALK DOTONBORI PRIVATE 4Beds WIFI 6PPL★,7.2,6条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上","★NAMBA★1min WALK DOTONBORI PRIVATE 4Beds WIFI 6PPL★ in Osaka features accommodation with free WiFi,..."
Holiday Inn Osaka Namba（大阪难波假日酒店）,8.4,"1,717条住客点评","中央区, 大阪【道顿堀】 – 显示在地图上",Holiday Inn Osaka Namba酒店距离道顿堀市（Dotonbori）中心有1分钟步行路程，提供带免费WiFi的舒适客房、按摩服务以及通宵餐厅，距离难波站（Namba...
BEST WESTERN Hotel Fino Osaka Shinsaibashi（大阪心斋桥贝斯特韦斯特菲诺酒店）,8.0,724条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Best Western Fino酒店距离心斋桥站（Shinsaibashi Station）有6分钟步行路程，距离大阪城（Osaka...
Welina Hotel Dotonbori（道顿堀韦连娜酒店）,8.1,279条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Welina Hotel Dotonbori酒店位于大阪，提供三星级住宿，距离格力高广告牌（Glico Man Sign）600米，距离难波城购物中心（Namba CITY shopping...
Very Hotel Dotonbori（道顿堀非凡公寓式酒店）,8.3,286条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Very Hotel Dotonbori酒店位于大阪，距离Glico Man Sign广告牌有700米，距离难波城购物中心800米，提供带免费WiFi、平板电视和厨房的住宿。...
Sotetsu Fresa Inn Osaka Shinsaibashi（大阪心斋桥相铁弗雷萨酒店）,,,"中央区, 大阪【心斋桥】 – 显示在地图上",Sotetsu Fresa Inn Osaka Shinsaibashi酒店位于大阪（Osaka），提供带免费WiFi的空调客房。酒店坐落在中央区（Chuo...
Heart of Shinsaibashi Apartment（心斋桥中心公寓）,9.0,146条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Heart of Shinsaibashi Apartment公寓位于大阪，提供免费WiFi和厨房。 所有公寓均提供休息区、平板电视、带免费洗浴用品、浴缸、坐浴盆和淋浴的私人浴室、烤箱以及水壶。...
Doutonbori Crystal Hotel,8.7,27条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Doutonbori Crystal Hotel酒店位于大阪（Osaka），提供共用休息室，距离格力高人像标志（Glico Man Sign）不到1公里，距离难波城（Namba...
TG house（TG之家公寓）,8.1,17条住客点评,大阪【南部地区】 – 显示在地图上,TG house公寓位于大阪（Osaka），距离四天王寺（Shitennoji）1.
Konjaku-So Dotonbori Penthouse Stay（今昔土盾阁楼公寓）,9.2,10条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Konjaku-So Dotonbori Penthouse Stay度假屋位于大阪（Osaka），提供带阳台的空调客房和免费WiFi。 度假屋配有客厅、平板电视以及带免费洗浴用品和坐浴盆的浴室。...
Crystal Apartment（水晶公寓）,8.3,147条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Crystal Apartment公寓位于大阪（Osaka），提供厨房和免费WiFi。 设施齐全的私人浴室提供浴缸和免费洗浴用品。 公寓距离格力高人像标志（Glico Man...
OOKINI Ryokan and Apartment（奥奇尼日式旅馆公寓）,9.1,357条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",OOKINI Ryokan and Apartment公寓位于大阪（Osaka），提供免费WiFi，距离格力高人像标志（Glico Man Sign）不到1.
HOTEL RELIEF Namba Daikokuchou（难波大国町瑞利弗酒店）,8.1,656条住客点评,大阪【难波】 – 显示在地图上,HOTEL RELIEF Namba Daikokuchou酒店位于大阪市（Osaka），经过全面翻新后于2014年7月重新开业，提供免费WiFi。...
Osaka Nanba Rakuraku Hotel（大阪难波拉库拉克公寓）,8.2,39条住客点评,大阪【南部地区】 – 显示在地图上,Osaka Nanba Rakuraku Hotel公寓位于大阪市（Osaka）四桥区心（Yotsubashi）的难波（Namba）心斋桥（Shinsaibashi），距离JR今宫站（JR...
Dotonbori Sixteen Apartment（道顿堀16公寓）,6.5,48条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Dotonbori Sixteen Apartment公寓位于大阪（Osaka），距离格力高人形标志（Glico Man Sign）有700米，距离难波城购物中心（Namba CITY...
Hotel IL Cuore Namba（难波伊尔克欧瑞酒店）,8.3,"1,660条住客点评",大阪【难波】 – 显示在地图上,Hotel IL Cuore Namba酒店距离难波（Namba）地铁站仅有2分钟步行路程，提供带私人浴室和液晶电视的现代化客房。酒店供应自助早餐，并在大堂设有可供客人免费使用的互联网站...
OOKINI HOTELS Nipponbashi Apartment（日本桥奥基尼公寓）,9.0,557条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",OOKINI HOTELS Nipponbashi Apartment公寓距离格力高人形标志牌（Glico Man Sign）有500米，提供阳台和免费WiFi。...
T3 Apartment in Nipponbashi（日本桥T3公寓）,8.3,6条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",T3 Apartment in Nipponbashi是一间自助式公寓，位于大阪（Osaka），靠近难波城（Namba CITY）购物中心，为客人提供免费WiFi。...
Grandouce Casa-Comoda（格兰多斯科莫达公寓）,8.3,137条住客点评,大阪【难波】 – 显示在地图上,Grandouce Casa-Comoda公寓位于大阪（Osaka），距离难波城（Namba CITY）购物中心600米，距离通天阁（Tsutenkaku）有13分钟步行路程，提供免费WiFi。...
Swissotel Nankai Osaka（大阪瑞士南海酒店）,8.8,"3,835条住客点评","中央区, 大阪【难波】 – 显示在地图上",Swissôtel Nankai Osaka酒店位于大阪市（Osaka）的娱乐和购物区中心，提供奢华的五星级客房和套房、清新的室内游泳池、spa、覆盖各处的免费WiFi和7个餐饮场所...
Sarasa Hotel Namba（难波萨拉萨经济型酒店）,8.5,"1,997条住客点评",大阪【难波】 – 显示在地图上,Sarasa Hotel Nipponbashi经济型酒店距离大阪（Osaka）的Namba...
Centrage Ark Ueshio（上汐中央方舟公寓）,8.2,241条住客点评,大阪【南部地区】 – 显示在地图上,Centrage Ark Ueshio公寓距离谷町九丁目地铁站（Tanimachi 9-chome Subway Station）有5分钟步行路程，配有空调，距离Namba CITY购物商场1.
pokapokahotel（博卡博卡酒店）,,,"中央区, 大阪【南部地区】 – 显示在地图上",Pokapokahotel公寓位于大阪。公寓提供免费Wi-Fi，距离四天王寺（Shitennoji）有20分钟的步行路程。 公寓配有1间卧室、带微波炉和烤面包机的小厨房，以及带坐浴盆和淋浴的浴室。...
Ark Hotel Osaka Shinsaibashi（大阪心斋桥方舟酒店（原大阪方舟酒店））,7.6,"1,692条住客点评","中央区, 大阪【心斋桥】 – 显示在地图上",Ark Hotel Osaka Shinsaibashi酒店距离心斋桥（Shinsaibashi）购物区仅有5分钟步行路程，设有1间餐厅和1间茶室，提供带免费有线网络连接和私人浴室的客房...
Hotel Kanade Osaka Shinsaibashi（大阪心斋桥奏酒店）,8.0,445条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",Hotel Kanade Osaka Shinsaibashii酒店地理位置便利，位于大阪（Osaka）市中心，距离心斋桥站（Shinsaibashi...
Namba Oriental Hotel（难波东方大酒店）,8.4,"2,163条住客点评","中央区, 大阪【难波】 – 显示在地图上",Namba Oriental Hotel酒店坐落在大阪（Osaka）的娱乐、用餐和购物区中心，距离南海本线（Nankai Line）的难波地铁站（Namba Subway...
Rozy Hotel Namba（难波罗兹酒店）,8.3,618条住客点评,大阪【难波】 – 显示在地图上,Rozy Hotel Namba酒店位于大阪，距离难波城（Namba CITY）购物中心不到800米，距离格力高人形广告牌（Glico Man...
Central Namba V4（难波中央V4旅馆）,,,大阪【难波】 – 显示在地图上,"Situated in the Shinsaibashi, Namba, Yotsubashi district in Osaka, Central Namba V4 features an..."
Namba_KUROMON_KMR0006B,,,"中央区, 大阪【难波】 – 显示在地图上",Namba_KUROMON_KMR0006B公寓位于大阪，距离难波城购物中心700米，距离格力高广告牌（Glico Man Sign）1.
PineBrook Daikokucho（大国町松之溪公寓）,7.5,22条住客点评,大阪【南部地区】 – 显示在地图上,PineBrook Daikokucho公寓位于大阪，提供带免费WiFi的住宿，距离通天阁（Tsutenkaku）有1.3公里，距离新世界（Shinsekai）有1.
Wafu Ryokan Uehonmachi（和风旅馆 上本町）,7.6,237条住客点评,大阪【南部地区】 – 显示在地图上,Wafu Ryokan Uehonmachi旅馆位于大阪市（Osaka），距离四天王寺（Shitennoji）有12分钟步行路程，提供花园以及带免费WiFi的客房，距离难波城（Namba...
Hotel Alps（阿尔卑斯情趣酒店）,8.6,611条住客点评,"中央区, 大阪【难波】 – 显示在地图上",Hotel Alps情趣酒店距离难波站（Namba Station）有5分钟步行路程，设有24小时前台，提供内部的免费停车场，各处均覆盖免费WiFi。 情趣酒店距离Namba City...
Cube Uemachidai（立方体上町台公寓）,8.8,129条住客点评,大阪【南部地区】 – 显示在地图上,Cube Uemachidai日式旅馆位于大阪，距离四天王寺（Shitennoji）1.3公里，距离阿倍野鲁卡斯（Abeno Harukas）1.8公里，距离通天阁（Tsutenkaku）2.
HOTEL UNIZO Osaka Shinsaibashi（大阪心斋桥由尼森酒店）,8.5,498条住客点评,"中央区, 大阪【心斋桥】 – 显示在地图上",HOTEL UNIZO Osaka Shinsaibashi酒店位于大阪（Osaka）的中央区（Chuo Ward），距离最近的车站——心斋桥站（Shinsaibashi...
Jakotel Apartment Namba（难波雅科特尔公寓）,7.8,133条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Jakotel Apartment Namba公寓位于大阪（Osaka）的中央区（Chuo Ward），距离难波城（Namba CITY）购物中心有1.
Apartment in Nipponbashi 602（Ostay Apartment in Nipponbashi 602）,,,"中央区, 大阪【南部地区】 – 显示在地图上",Apartment in Nipponbashi 602公寓位于大阪（Osaka），距离Namba CITY购物商场700米，提供公寓，距离Glico Man Sign广告牌800米。...
Hotel July（七月酒店）,8.3,193条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上",Hotel July酒店坐落在大阪（Osaka），距离难波城购物中心（Namba CITY）700米，距离格力高广告牌（Glico Man Sign）800米，提供共用休息室、24小时前台和共用厨房。...
Cross Hotel Osaka（大阪十字酒店）,8.8,"3,126条住客点评","中央区, 大阪【道顿堀】 – 显示在地图上",由米其林指南推荐的Cross Hotel Osaka酒店距离道顿堀（Dotonbori）地区仅有1分钟步行路程，距离难波地铁站（Namba Subway...
Hotel Monterey Grasmere Osaka（大阪蒙特利格拉斯米尔酒店）,8.4,"3,505条住客点评",大阪【难波】 – 显示在地图上,Hotel Monterey Grasmere Osaka酒店直接与JR难波火车站（JR Namba Train...
Base Osaka（大阪贝斯公寓）,8.8,25条住客点评,大阪【南部地区】 – 显示在地图上,Base Osaka公寓所处位置便利，距离今宫站仅有3分钟步行路程，距离大国町站有5分钟步行路程，提供带免费WiFi和平板电视的住宿。...
Dotonbori Fine & Large Room M,8.5,6条住客点评,"中央区, 大阪【南部地区】 – 显示在地图上","Set 1.2 km from Namba CITY shopping mall in Osaka, Dotonbori Fine & Large Room M offers..."
Kamon Hotel Namba（难波嘉门酒店）,9.1,730条住客点评,"中央区, 大阪【难波】 – 显示在地图上",Kamon Hotel Namba酒店距离日本桥站（Nippombashi Station）仅有1分钟的步行路程，提供覆盖各处的免费WiFi和免费行李寄存服务。...
HOTEL LANDMARK NAMBA402（地标难波402公寓式酒店）,8.2,6条住客点评,大阪【难波】 – 显示在地图上,HOTEL LANDMARK NAMBA402公寓位于大阪，享有城市景观，提供带厨房的住宿和免费WiFi。 所有公寓均配有私人浴室、空调、平板电视和冰箱，还提供冰箱、炉灶和水壶。...
HOTEL LANDMARK NAMBA502（地标难波502公寓式酒店）,9.0,10条住客点评,大阪【难波】 – 显示在地图上,HOTEL LANDMARK NAMBA502公寓式酒店位于大阪府（Osaka Prefecture region）的大阪市（Osaka），提供带免费WiFi的公寓。...
Namba_Daikoku_DAR0005B,7.9,5条住客点评,大阪【南部地区】 – 显示在地图上,"Set 1.6 km from Tsutenkaku, Namba_Daikoku_DAR0005B is situated in Shinsaibashi, Namba, Yotsubashi of..."
TEIOH Nishi shinsaibashi（TEIOH西心斋桥公寓酒店 ）,8.4,21条住客点评,"中央区, 大阪【道顿堀】 – 显示在地图上",Minpaku No Teio Nishishinsaibashi酒店位于大阪市（Osaka），距离难波地铁站（Namba Subway...
HOTEL LANDMARK NAMBA401（地标难波401公寓式酒店）,8.8,10条住客点评,大阪【难波】 – 显示在地图上,"Situated in Osaka, 1.4 km from Namba CITY shopping mall, HOTEL LANDMARK NAMBA401 offers..."
HOTEL LAND MARK NAMBA101（难波101地标公寓式酒店）,9.5,8条住客点评,大阪【难波】 – 显示在地图上,HOTEL LAND MARK NAMBA101公寓式酒店位于大阪（Osaka），距离难波城购物中心不到1.
